type,imageUrl,displayText,question
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/1_1.jpg,,Click on the picture that best matches the sentence: The dog was chased by the cat
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/1_2.jpg,,Click on the picture that best matches the sentence: The dog was chased by the cat
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/2_1.jpg,,Click on the picture that best matches the sentence: It was the chicken that scared the lion.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/2_2.jpg,,Click on the picture that best matches the sentence: It was the chicken that scared the lion.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/3_1.jpg,,Click on the picture that best matches the sentence: It was the lion that the elephant bit
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/3_2.jpg,,Click on the picture that best matches the sentence: It was the lion that the elephant bit
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/4_1.jpg,,Click on the picture that best matches the sentence: Every hiker climbed a hill.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/4_2.jpg,,Click on the picture that best matches the sentence: Every hiker climbed a hill.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/5_1.jpg,,Click on the picture that best matches the sentence: It was the tiger that the monkey hugged.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/5_2.jpg,,Click on the picture that best matches the sentence: It was the tiger that the monkey hugged.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/6_1.jpg,,Click on the picture that best matches the sentence: It was the monkey that pushed the bear.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/6_2.jpg,,Click on the picture that best matches the sentence: It was the monkey that pushed the bear.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/7_1.jpg,,Click on the picture that best matches the sentence: The dog was pushed by the cat.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/7_2.jpg,,Click on the picture that best matches the sentence: The dog was pushed by the cat.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/8_1.jpg,,Click on the picture that best matches the sentence: Every child rode an elephant.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/8_2.jpg,,Click on the picture that best matches the sentence: Every child rode an elephant.
survey-multi-choice,http://www.gameswithwords.org/WhichEnglish/images/9.jpg,I shan't be coming to the party after all.,Which of the following sentences sounds most natural?9
survey-multi-choice,http://www.gameswithwords.org/WhichEnglish/images/9.jpg,I won't be coming to the party after all.,Which of the following sentences sounds most natural?9
survey-multi-choice,http://www.gameswithwords.org/WhichEnglish/images/9.jpg,Both,Which of the following sentences sounds most natural?9
survey-multi-choice,http://www.gameswithwords.org/WhichEnglish/images/9.jpg,Neither,Which of the following sentences sounds most natural?9
survey-multi-choice,http://www.gameswithwords.org/WhichEnglish/images/10.jpg,What age are you?,Which of the following sentences sounds most natural?10
survey-multi-choice,http://www.gameswithwords.org/WhichEnglish/images/10.jpg,How age are you?,Which of the following sentences sounds most natural?10
survey-multi-choice,http://www.gameswithwords.org/WhichEnglish/images/10.jpg,How old are you?,Which of the following sentences sounds most natural?10
survey-multi-choice,http://www.gameswithwords.org/WhichEnglish/images/10.jpg,What old are you?,Which of the following sentences sounds most natural?10
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/11.jpg,I will have studied for 6 hours by dinner time.,Which of the following sentences sounds most natural?11
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/11.jpg,I will have been studying for 6 hours by dinner time.,Which of the following sentences sounds most natural?11
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/11.jpg,I will had studied for 6 hours by dinner time.,Which of the following sentences sounds most natural?11
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/11.jpg,I will be studying for 6 hours by dinner time.,Which of the following sentences sounds most natural?11
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/12.jpg,The people is angry.,Which of the following sentences sounds most natural?12
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/12.jpg,The people be angry.,Which of the following sentences sounds most natural?12
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/12.jpg,The people were angry.,Which of the following sentences sounds most natural?12
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/12.jpg,The people are angry.,Which of the following sentences sounds most natural?12
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/13.jpg,The man that arrived yesterday needs a wakeup call at nine.,Which of the following sentences sounds most natural? 13
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/13.jpg,The man whom arrived yesterday needs a wakeup call at nine.,Which of the following sentences sounds most natural? 13
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/13.jpg,The man which arrived yesterday needs a wakeup call at nine.,Which of the following sentences sounds most natural? 13
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/13.jpg,The man where arrived yesterday needs a wakeup call at nine.,Which of the following sentences sounds most natural? 13
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/14.jpg,"We won the game, so we did!",Which of the following sentences sounds most natural? 14
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/14.jpg,"We won the game, yes we did!",Which of the following sentences sounds most natural? 14
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/14.jpg,"We won the game, no we did!",Which of the following sentences sounds most natural? 14
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/14.jpg,"We won the game, although we did!",Which of the following sentences sounds most natural? 14
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/15.jpg,I studies medicine.,Which of the following sentences sounds most natural? 15
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/15.jpg,I reads medicine.,Which of the following sentences sounds most natural? 15
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/15.jpg,I study medicine.,Which of the following sentences sounds most natural? 15
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/15.jpg,I read medicine.,Which of the following sentences sounds most natural? 15
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/16.jpg,"He broke his leg, so he is in the hospital.",Which of the following sentences sounds most natural? 16
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/16.jpg,"He broke his leg, so he is in hospital.",Which of the following sentences sounds most natural? 16
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/16.jpg,"He broke his leg, so he is on hospital.",Which of the following sentences sounds most natural? 16
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/16.jpg,"He broke his leg, so he is on the hospital.",Which of the following sentences sounds most natural? 16
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/17.jpg,"I told Sally I was worried about the exam. She said, “Don't worry. He'll be right!”",Which of the following sentences sounds most natural? 17
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/17.jpg,"I told Sally I was worried about the exam. She said, “Don't worry. She'll be right!”",Which of the following sentences sounds most natural? 17
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/17.jpg,"I told Sally I was worried about the exam. She said, “Don't worry. It be okay!”",Which of the following sentences sounds most natural? 17
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/17.jpg,"I told Sally I was worried about the exam. She said, “Don't worry. It'll be okay!”",Which of the following sentences sounds most natural? 17
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/18.jpg,"If he knew, he would have helped her.",Which of the following sentences sounds most natural? 18
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/18.jpg,"If he had been knowing, he would have helped her.",Which of the following sentences sounds most natural? 18
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/18.jpg,"If he had known, he would have helped her.",Which of the following sentences sounds most natural? 18
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/18.jpg,"If he have known, he would have helped her.",Which of the following sentences sounds most natural? 18
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/19.jpg,My brother and sister are playing tennis at 11pm later tonight.,Which of the following sentences sounds most natural? 19
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/19.jpg,My brother and sister will playing tennis at 11pm later tonight.,Which of the following sentences sounds most natural? 19
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/19.jpg,My brother and sister were playing tennis at 11pm later tonight.,Which of the following sentences sounds most natural? 19
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/19.jpg,My brother and sister was playing tennis at 11pm later tonight.,Which of the following sentences sounds most natural? 19
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/20.jpg,I said the story.,Which of the following sentences sounds most natural? 20
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/20.jpg,I replied the story.,Which of the following sentences sounds most natural? 20
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/20.jpg,I declared the story.,Which of the following sentences sounds most natural? 20
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/20.jpg,I told the story.,Which of the following sentences sounds most natural? 20
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/21.jpg,My grandmother really loved John. She left all her money to he.,Which of the following sentences sounds most natural? 21
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/21.jpg,My grandmother really loved John. She left all her money to him.,Which of the following sentences sounds most natural? 21
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/21.jpg,My grandmother really loved John. She left all her money to her.,Which of the following sentences sounds most natural? 21
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/21.jpg,My grandmother really loved John. She left all her money to it.,Which of the following sentences sounds most natural? 21
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/22.jpg,"They may be traveling, but I'm not sure.",Which of the following sentences sounds most natural? 22
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/22.jpg,"They can be traveling, but I'm not sure.",Which of the following sentences sounds most natural? 22
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/22.jpg,"They would be traveling, but I'm not sure.",Which of the following sentences sounds most natural? 22
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/22.jpg,"They have be traveling, but I'm not sure.",Which of the following sentences sounds most natural? 22
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/23.jpg,John gave the library the book.,Which of the following sentences sounds most natural? 23
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/23.jpg,John donated the library the book.,Which of the following sentences sounds most natural? 23
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/23.jpg,John distributed the library the book.,Which of the following sentences sounds most natural? 23
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/23.jpg,John contributed the library the book.,Which of the following sentences sounds most natural? 23
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/24.jpg,Sally laughed Mary.,Which of the following sentences sounds most natural? 24
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/24.jpg,Sally happied Mary.,Which of the following sentences sounds most natural? 24
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/24.jpg,Sally giggled Mary.,Which of the following sentences sounds most natural? 24
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/24.jpg,Sally tickled Mary.,Which of the following sentences sounds most natural? 24
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/25.jpg,A President Obama lives in the White House.,Which of the following sentences sounds most natural? 25
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/25.jpg,The President Obama lives in the White House.,Which of the following sentences sounds most natural? 25
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/25.jpg,These President Obama lives in the White House.,Which of the following sentences sounds most natural? 25
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/25.jpg,President Obama lives in the White House.,Which of the following sentences sounds most natural? 25
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/26.jpg,The sun is in the sky.,Which of the following sentences sounds most natural? 26
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/26.jpg,The sun is in a sky.,Which of the following sentences sounds most natural? 26
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/26.jpg,The sun is in an sky.,Which of the following sentences sounds most natural? 26
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/26.jpg,The sun is in sky.,Which of the following sentences sounds most natural? 26
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/27.jpg,I believe in these justice.,Which of the following sentences sounds most natural? 27
